Permit_Number,Owner_Name,Operating_Name,Street,City,State,Prem_Zip,Prem_County,Industry_Type,New_Permit_Flag
MO-I-360,"CANTWELL, MICHAEL T.",,6119 KINGSBURY AVE,SAINT LOUIS,MO,63112,SAINT LOUIS CITY,Importer (Alcohol),0
MO-I-383,GARCO WINE COMPANY INC,,4017 FOLSOM AVE #51,SAINT LOUIS,MO,63110,SAINT LOUIS CITY,Importer (Alcohol),0
MO-I-398,"HEARTLAND BEVERAGE, LTD.",,14220 WYANDOTTE ST,KANSAS CITY,MO,64145,JACKSON,Importer (Alcohol),0
MO-I-434,"MCCORMICK DISTILLING CO., INC.",,1 MCCORMICK LN,WESTON,MO,64098,PLATTE,Importer (Alcohol),0
MO-I-446,"WINE SPECIALTIES INTERNATIONAL, LTD.",COCKTAILS IN A POUCH,2148 HAWKS LANDING DR,LAKE ST LOUIS,MO,63367,SAINT CHARLES,Importer (Alcohol),0
MO-I-453,"PINNACLE IMPORTS, L.L.C.",,1681 WALTON RD,OVERLAND,MO,63114,SAINT LOUIS,Importer (Alcohol),0
MO-I-458,"GOLDEN BARREL, INC.",GOLDEN BARREL,1501 I-70 COMPLEX CT,COLUMBIA,MO,65201,BOONE,Importer (Alcohol),0
MO-I-459,"MISSOURI BEVERAGE COMPANY, INC.",PIONEER WHOLESALE WINE & LIQUOR COMPANY,6331 KNOX INDUSTRIAL DR,SAINT LOUIS,MO,63139,SAINT LOUIS CITY,Importer (Alcohol),0
MO-I-462,"CORKSCREW IMPORTS, LLC",C.I.C. IMPORTS,2004 GRAND BLVD #601,KANSAS CITY,MO,64108,JACKSON,Importer (Alcohol),0
MO-I-464,"BOMMARITO WINES & SPIRITS, INC",Bommarito Wines & Spirits,2465 CENTERLINE INDUSTRIAL DR,SAINT LOUIS,MO,63043,SAINT LOUIS,Importer (Alcohol),0
MO-I-465,"DOMAINE URSULA, L.L.C.",,11675 FAIRGROVE INDUSTRIAL BLVD,MARYLAND HEIGHTS,MO,63043,SAINT LOUIS,Importer (Alcohol),0
MO-I-467,"7 SEAS BEVERAGE, L.L.C.",7 SEAS BEVERAGE,6008 N LINDBERGH BLVD,HAZELWOOD,MO,63042,SAINT LOUIS,Importer (Alcohol),0
MO-I-470,HERMES IMPORTS LLC,,1910 KINGS HWY,LIBERTY,MO,64068,CLAY,Importer (Alcohol),0
MO-I-471,"FREERUN, L.L.C.",,1933 E FLORIDA ST,SPRINGFIELD,MO,65803,GREENE,Importer (Alcohol),0
MO-I-472,GLOBAL GRAPE L.L.C.,,1975 WALTON RD,OVERLAND,MO,63114,SAINT LOUIS,Importer (Alcohol),0
MO-I-476,"ALMAX INTERNATIONAL, L.L.C.",,14565 BRITTANIA DR,CHESTERFIELD,MO,63017,SAINT LOUIS,Importer (Alcohol),0
MO-I-478,"LA GRANDE VIE IMPORTS, L.L.C.",,11225 TESSON FERRY RD,SAINT LOUIS,MO,63123,SAINT LOUIS,Importer (Alcohol),0
MO-I-479,"TMW WINES, LLC",,30192 HIGHWAY M,SEDALIA,MO,65301,PETTIS,Importer (Alcohol),0
MO-I-480,"PREMIER CRU, L.L.C.",,1501 W 31ST ST SUITE 608,KANSAS CITY,MO,64108,JACKSON,Importer (Alcohol),0
MO-I-483,"TERRA FIRMA USA, INC.",,951 HARMSTED CT,SAINT CHARLES,MO,63301,SAINT CHARLES,Importer (Alcohol),0
MO-I-487,BELA S. DENES,GREATLAND IMPORTERS,418 S OLD ORCHARD AVE,SAINT LOUIS,MO,63119,SAINT LOUIS,Importer (Alcohol),0
MO-I-488,CLASSIQUE LLC,CLASSIQUE BEVERAGES,516 S HOIGH POST RD,AUGUSTA,MO,63332,SAINT CHARLES,Importer (Alcohol),0
MO-I-490,LASZLO CORPORATION,,MANNINGTON CT,SAINT PETERS,MO,63376,SAINT CHARLES,Importer (Alcohol),0
MO-I-492,"PINNACLE IMPORTS, L.L.C.",DBA PINNACLE IMPORTS OF KANSAS CITY,2001 PENNSYLVANIA AVE,KANSAS CITY,MO,64108,JACKSON,Importer (Alcohol),0
MO-I-494,DURAN IMPORTS INC.,DURAN IMPORTS,170 N CALLAHAN RD,WENTZVILLE,MO,63385,SAINT CHARLES,Importer (Alcohol),0
MO-I-495,"GATEWAY WINE & SPIRITS, LLC",,11845 ADIE RD,MARYLAND HEIGHTS,MO,63043,SAINT LOUIS,Importer (Alcohol),0
MO-I-496,"BELTXENEA PREMIUM GOURMET, LLC",,707 SPIRIT 40 PARK DR STE 120,CHESTERFIELD,MO,63005,SAINT LOUIS,Importer (Alcohol),0
MO-I-498,MARQUEE SELECTIONS LLC,,3150 MERCIER ST SUITE 543,KANSAS CITY,MO,64111,JACKSON,Importer (Alcohol),0
MO-I-499,INTERWOOD IMPEX LLC,,4414 RIA ST,COLUMBIA,MO,65202,BOONE,Importer (Alcohol),0
MS-I-15002,"RED MONKEY PACKAGE STORE, L.L.C.",RED MONKEY,955 LAKEVIEW DR,GRENADA,MS,38901,GRENADA,Importer (Alcohol),0
MS-I-15003,"KOKOPELLI ENTERPRISES, LTD",,4529 HIGHWAY 82,STEWART,MS,39767,MONTGOMERY,Importer (Alcohol),0
MS-I-15004,"HOOD IMPORTS, LLC",,2400 CULLYWOOD RD,JACKSON,MS,39211,HINDS,Importer (Alcohol),0
MS-I-15005,"MAYMAR MARINE SUPPLY CO, INC.",,308 DELMAS AVE,PASCAGOULA,MS,39567,JACKSON,Importer (Alcohol),0
MS-I-21001,MISSISSIPPI BREWING COMPANY LLC,Down South Industries,13247 SEAWAY RD,GULFPORT,MS,39503,,Importer (Alcohol),0
MS-I-21002,GC SPIRITS LLC,GDAY Wine & Spirits,200 W RAILROAD ST UNIT B,LONG BEACH,MS,39560,HARRISON,Importer (Alcohol),0
MS-I-21003,GC SPIRITS LLC,GDAY Wine & Spirits,200 W RAILROAD ST UNIT B,LONG BEACH,MS,39560,HARRISON,Importer (Alcohol),0
MS-I-21004,"MAGNOLIA BARREL HOUSE, LLC",Magnolia Barrel House,644 CHURCH RD UNIT 4,MADISON,MS,39110,,Importer (Alcohol),0
MS-I-21005,"BROOKSHIRE IMPORTS, INC.",Brookshire Imports,555 HOWARD AVE,BILOXI,MS,39530,,Importer (Alcohol),0
MS-I-21006,CAIACANA USA LLC,,1509 COUNTY ROAD 31,HEIDELBERG,MS,39439,JASPER,Importer (Alcohol),0
MS-I-21007,"T.M.T., LLC",Midtown Wine & Spirits,2902 HARDY ST STE 70,HATTIESBURG,MS,39401,FORREST,Importer (Alcohol),0
MS-I-21008,"TINY ENTERPRISES, LLC",M&M DISCOUNT LIQUOR STORE,7821 HWY 613 STE 5A,MOSS POINT,MS,39563,JACKSON,Importer (Alcohol),0
MS-I-21009,BUSHIDO SPIRITS LLC,,343 DISTRIBUTION DR,MADISON,MS,39110,MADISON,Importer (Alcohol),0
MS-I-21011,BOS SALES INC.,Old Red Cap Liquor Store,830 CITY AVE S BLDG F,RIPLEY,MS,38663,TIPPAH,Importer (Alcohol),0
MS-I-21012,RECO LIMITED,,20080 MENNONITE RD,GULFPORT,MS,39503,HARRISON,Importer (Alcohol),0
MS-I-21013,THE WATER GROUP LLC,,1470 IRBY ST E3,GREENVILLE,MS,38701,WASHINGTON,Importer (Alcohol),0
MS-I-21014,COMMODORE BOB'S BOTTLE SHOP LLC,,517 UNIVERSITY DR STE 3,STARKVILLE,MS,39759,OKTIBBEHA,Importer (Alcohol),0
MS-I-21015,RENA CORP,Rena,252 CLOVER VALLEY BLVD,BRANDON,MS,39047,RANKIN,Importer (Alcohol),0
MS-I-21016,"SOUTHERN BEVERAGE CO.,  INC.",Southern Beverage Co,270 HIGHLAND COLONY PKWY,RIDGELAND,MS,39157,,Importer (Alcohol),0
MS-I-21017,ZIAN INC,CHEERS,2445 HIGHWAY 51 S STE 2,HERNANDO,MS,38632,DESOTO,Importer (Alcohol),0
MS-I-21018,AKSHAR KII BOKOBA LLC,,215 DOE RUN RD,TUPELO,MS,38801,LEE,Importer (Alcohol),0
MS-I-21019,EXECUTIVE CONEXTION LLC,,237 NICHOLS DR,BILOXI,MS,39530,HARRISON,Importer (Alcohol),0
MS-I-21020,NUBE 9 SPIRITS INC,Nube Nine Spirits,139 EDWARD OWENS DR,TERRY,MS,39170,,Importer (Alcohol),0
MS-I-21021,THE SIPP BAR AND LOUNGE LLC,The Sipp Bar and Lounge,209 S COMMERCE ST,JACKSON,MS,39201,HINDS,Importer (Alcohol),0
MS-I-21022,THIRSTY 8 OAK INC,,2842 MAY BLVD STE 103,SOUTHAVEN,MS,38672,DESOTO,Importer (Alcohol),0
MS-I-21023,GENERATION NEXT LLC,Lake Harbor Wine and Liquor,310 W 51 HWY STE C,RIDGELAND,MS,39157,MADISON,Importer (Alcohol),0
MS-I-21024,ROSEDALE QALICB MANAGER LLC,Rosedale Distilling Company,0 PERRY MARTIN RD,ROSEDALE,MS,38769,,Importer (Alcohol),0
MS-I-21025,MARGALUZ CAPITAL GROUP LLC,,36 JOHNNY BOYKIN RD,LAUREL,MS,39443,JONES,Importer (Alcohol),0
MS-I-303,"CECIL'S PACKAGE STORE, INC.",,916 S DAVIS AVE,CLEVELAND,MS,38732,BOLIVAR,Importer (Alcohol),0
MT-I-15000,ROCKY MOUNTAIN WINE COMPANY,,133 BIG HORN DR,KALISPELL,MT,59901,FLATHEAD,Importer (Alcohol),0
MT-I-15006,"ROACH & SMITH DISTRIBUTORS, INC.",SUMMIT BEVERAGE,3299 FLYNN LN,MISSOULA,MT,59808,MISSOULA,Importer (Alcohol),0
MT-I-15007,"LATITUD SUR WINE IMPORT, LLC",,3 ALBERTINE AVE,CLANCY,MT,59634,JEFFERSON,Importer (Alcohol),0
MT-I-15008,MATTHEW FLEMING,,2483 GLEN LAKE RD,EUREKA,MT,59917,LINCOLN,Importer (Alcohol),0
MT-I-21001,"ELLIE BROWN & ASSOCIATES, LLC",,1350 CHELEQ CT,MISSOULA,MT,59804,,Importer (Alcohol),0
MT-I-21002,"GAIA GLOBAL, INC",,105 YARROW LANE,WHITEFISH,MT,59937,FLATHEAD,Importer (Alcohol),0
MT-I-21003,"PEGASUS INFORMATION SYSTEMS MANAGEMENT, LLC",,119041 GERMAN GULCH RD BLDG FTZ 274,BUTTE,MT,59750,SILVERBOW,Importer (Alcohol),0
MT-I-21004,"FEDERATION OF BEER, INC.",,3930 MONTANA HWY 40,COLUMBIA FALLS,MT,59912,FLATHEAD,Importer (Alcohol),0
MT-I-21005,I TRE FRATELLI LLC,,110 MAIN ST,KALISPELL,MT,59901,,Importer (Alcohol),0
MT-I-21006,SILVER TIP IMPORTS LLC,,38000 US HIGHWAY W,LOLO,MT,59847,,Importer (Alcohol),0
MT-I-21007,SIVERT MYSSE,,1224 US HWY 87 E STE 3,BILLINGS,MT,59101,YELLOWSTONE,Importer (Alcohol),0
MT-I-21008,"BENT FRENCHMAN SELECTIONS, LLC",Bent Frenchman Selections,1369 N HIGHWAY 93 HWY UNIT 7,VICTOR,MT,59875,RAVALLI,Importer (Alcohol),0
MT-I-21010,"VENTUREPLANET, LLC",VenturePlanet,6230 GRANT CREEK RD,MISSOULA,MT,59808,MISSOULA,Importer (Alcohol),0
MT-I-21011,THREE ARROWS WINES LLC,Three Arrows Wines,777 PAXSON PASS TRL,LAKESIDE,MT,59922,FLATHEAD,Importer (Alcohol),0
MT-I-21012,"MONTGOMERY DISTILLERY, INC.",,129 W FRONT ST,MISSOULA,MT,59802,MISSOULA,Importer (Alcohol),0
MT-I-21013,"HEADFRAME SPIRITS, INC.",,21 S MONTANA ST,BUTTE,MT,59701,SILVER BOW,Importer (Alcohol),0
MT-I-21014,"HEADFRAME SPIRITS MANUFACTURING, INC.",Mountain Consolidated Packaging,341 ANACONDA RD,BUTTE,MT,59701,SILVER BOW,Importer (Alcohol),0
MT-I-21015,NANCY LEE CUNNIGHAM,Worldly Wine Imports,4170 E US HWY 2,KALISPELL,MT,59901,FLATHEAD,Importer (Alcohol),0
MT-I-21016,ADMIRAL BEVERAGE CORP.,,1212 15TH ST N,GREAT FALLS,MT,59401,,Importer (Alcohol),0
MT-I-21017,ADMIRAL BEVERAGE CORP.,,332 11TH AVE N,SHELBY,MT,59474,,Importer (Alcohol),0
MT-I-21018,ADMIRAL BEVERAGE CORP.,,7595 US-2,HAVRE,MT,59501,,Importer (Alcohol),0
MT-I-21019,FAP SPIRITS CORP.,,504 W MAIN ST,BOZEMAN,MT,59715,GALLATIN,Importer (Alcohol),0
MT-I-21020,"ROACH & SMITH DISTRIBUTORS, INC.",Summit Beverage,175 SCHOOL HOUSE LOOP,KALISPELL,MT,59901,,Importer (Alcohol),0
MT-I-21021,"GLACIER HOPS RANCH, INC.","Glacier Hops Ranch, Inc.",205 JUNES WAY STE 1,WHITEFISH,MT,59937,,Importer (Alcohol),0
MT-I-21022,OLD RESERVE ENTERPRISE LLC,,2016 OLD RESERVE DR,KALISPELL,MT,59901,FLATHEAD,Importer (Alcohol),0
MT-I-21023,"NORWEGIAN BEVERAGE COMPANY, LLC",Norwegian Beverage Company,1750 E BASELINE RD,BELGRADE,MT,59714,GALLATIN,Importer (Alcohol),0
MT-I-21024,REDIVIVA LLC,Rediviva Wines,1025 KETCHIKAN DR,BELGRADE,MT,59714,,Importer (Alcohol),0
MT-I-21025,"GEORGE'S DISTRIBUTING, INC.",,2782 BROADWATER AVE,HELENA,MT,59602,,Importer (Alcohol),0
MT-I-21026,MECHANICAL ENTERPRISES CORP.,,101 RAINBOW AVE,POWER,MT,59468,,Importer (Alcohol),0
MT-I-21027,MARKETPLAS LLC,marketplas,33 W MAIN ST,BOZEMAN,MT,59715,GALLATIN,Importer (Alcohol),0
MT-I-762,"EXPORTS, INC.",,"BORDER STANDARD STATION, HWY 25 & CANADI",SWEETGRASS,MT,59484,TOOLE,Importer (Alcohol),0
MT-I-767,"ACRO, INC.",,ROOSVILLE BORDER STATION,NORTH OF EUREKA,MT,59917,LINCOLN,Importer (Alcohol),0
MT-I-772,"AMMEX TAX & DUTY FREE SHOPS WEST, INC.",,1 MAIN ST BLDG 1,SWEETGRASS,MT,59484,TOOLE,Importer (Alcohol),0
MT-I-775,INTERMOUNTAIN DISTRIBUTING CO.,,3927 1ST AVE,BILLINGS,MT,59101,YELLOWSTONE,Importer (Alcohol),0
MT-I-777,BRONKEN'S GOOD TIME COMPANY,,707 E PEACH ST,BOZEMAN,MT,59715,GALLATIN,Importer (Alcohol),0
MT-I-780,"DEVINE & ASSELSTINE, INC.",,601 RIVER DR,GREAT FALLS,MT,59405,CASCADE,Importer (Alcohol),0
MT-I-793,NEMONT BEVERAGE CORPORATION,,"G-N RITE OF WAY, 1 BLOCK E. OF 4TH STREE",GLASGOW,MT,59230,VALLEY,Importer (Alcohol),0
MT-I-794,"HAVRE DISTRIBUTORS, INC.",,935 1ST ST,HAVRE,MT,59501,HILL,Importer (Alcohol),0
MT-I-806,"BRIGGS DISTRIBUTING COMPANY, INC.",,3545 HESPER RD,BILLINGS,MT,59102,YELLOWSTONE,Importer (Alcohol),0
MT-I-812,NEMONT BEVERAGE CORPORATION,,245 R R RESERVATION,GLASGOW,MT,59230,VALLEY,Importer (Alcohol),0
MT-I-816,BLUE ROCK DISTRIBUTING CO.,,217 N 8TH ST,MILES CITY,MT,59301,CUSTER,Importer (Alcohol),0
MT-I-819,"AMMEX TAX & DUTY FREE SHOPS WEST, INC.",,HIGHWAY 16 & CANADIAN BORDER,RAYMOND,MT,59257,SHERIDAN,Importer (Alcohol),0
MT-I-820,"ZIP, INC.",ZIP BEVERAGE,1301 SCOTT ST,MISSOULA,MT,59802,MISSOULA,Importer (Alcohol),0
MT-I-824,CARDINAL DISTRIBUTING COMPANY LLC,,269 JACKRABBIT LN,BOZEMAN,MT,59718,GALLATIN,Importer (Alcohol),0
MT-I-825,"B.Y.O.B., INC.",,154 3RD AVENUE EAST,KALISPELL,MT,59901,FLATHEAD,Importer (Alcohol),0
MT-I-826,SHELBY DISTRIBUTORS LLC,EAGLE BEVERAGE,1011 BROADWATER DR,GREAT FALLS,MT,59405,CASCADE,Importer (Alcohol),0
MT-I-829,SMITH MARKETING COMPANY,,4141 STATE AVE,BILLINGS,MT,59101,YELLOWSTONE,Importer (Alcohol),0
MT-I-832,THE SHEPHERD COMPANY,,401 S ALABAMA ST,BUTTE,MT,59701,SILVER BOW,Importer (Alcohol),0
NC-I-15002,"A TO Z SERVICES, INC.",,1573 FREEWAY DR,REIDSVILLE,NC,27320,ROCKINGHAM,Importer (Alcohol),0
NC-I-15006,"CAFAYATE IMPORTS, INC.",,191 LYMAN ST STE 101,ASHEVILLE,NC,28801,BUNCOMBE,Importer (Alcohol),0
NC-I-15009,LATIN AMERICAN FOOD PRODUCTS INC.,LATIN AMERICAN FOOD PRODUCTS,2710 CHAMBER DR STE E,MONROE,NC,28110,UNION,Importer (Alcohol),0
NC-I-15013,"NOMACORC, LLC",,400 VINTAGE PARK DR,ZEBULON,NC,27597,WAKE,Importer (Alcohol),0
NC-I-15019,"TASTE EVERYTHING, LLC",CENTERBA SELECTIONS,2435 S ALSTON AVE,DURHAM,NC,27713,DURHAM,Importer (Alcohol),0
NC-I-15021,"GRAPEVINE OF NORTH CAROLINA, INC.",GRAPEVINE DISTRIBUTORS,980 DERITA RD STE D - UNIT 1,CONCORD,NC,28027,CABARRUS,Importer (Alcohol),0
NC-I-15023,HEXA PARTNERS,HEXA PARTNERS LP,1525 S BLOUNT ST,RALEIGH,NC,27603,WAKE,Importer (Alcohol),0
NC-I-15026,"TRUE VINE IMPORTS, INC.",,1103 BREVARD RD UNIT C,ASHEVILLE,NC,28806,BUNCOMBE,Importer (Alcohol),0
NC-I-15030,"EPICUR WINES, LLC",,5100 UNICON DRIVE SUITE 105,WAKE FOREST,NC,27587,WAKE,Importer (Alcohol),0
NC-I-15031,"COMPASS WINE GROUP, INC.",,304 W PLAZA DR SUITE B16,MOORESVILLE,NC,28117,IREDELL,Importer (Alcohol),0
NC-I-15035,"JON-DAVID HEADRICK SELECTIONS, LLC",,30 HENDERSONVILLE RD SUITE 11,ASHEVILLE,NC,28803,BUNCOMBE,Importer (Alcohol),0
NC-I-15039,BEAUFORT IMPORTS LLC,LOW COUNTRY IMPORTS,5800 MCHINES PL,RALEIGH,NC,27616,WAKE,Importer (Alcohol),0
NC-I-15041,"OLD NORTH STATE WINERY, INC.",OLD NORTH STATE WINERY,308 N MAIN ST,MOUNT AIRY,NC,27030,SURRY,Importer (Alcohol),0
NC-I-15046,"VMI, LTD.",VMI GLOBAL TRADING LIMITED,3322 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15047,"AD. GUIN-LEVISTER IMPORTERS AND BOTTLERS, LLC",GLOBAL BOOTLEGGERS,7711 IDLEWILD RD,INDIAN TRAIL,NC,28079,UNION,Importer (Alcohol),0
NC-I-15049,"LEGRANDE HOSPITALITY, LLC",JUICE,2121 ATLANTIC AVENUE SUITE 100,RALEIGH,NC,27604,WAKE,Importer (Alcohol),0
NC-I-15051,MALKHAZ EDDY DZHOBADZE,KST GEORGIAN WINES,7209 WALLACE LN,CHARLOTTE,NC,28212,MECKLENBURG,Importer (Alcohol),0
NC-I-15052,"BOZ SPIRITS, INC.",BOZ SPIRITS,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15055,"FRESHER THAN FRESH, INC.",,700 TULIP DR,GASTONIA,NC,28052,GASTON,Importer (Alcohol),0
NC-I-15056,WINE WITHOUT BORDERS LLC,,825 S WORTH ST,BURLINGTON,NC,27215,ALAMANCE,Importer (Alcohol),0
NC-I-15057,"GAMBINO WINE IMPORTS, LLC",GAMBINO WINE IMPORTS,155 ALEXIS LUCIA RD,ALEXIS,NC,28006,GASTON,Importer (Alcohol),0
NC-I-15062,"BOURGEOIS FAMILY SELECTIONS, LLC",,640 MIRAMAR ST,CONCORD,NC,28025,CABARRUS,Importer (Alcohol),0
NC-I-15064,BERNIKO L.L.C.,,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15069,HIGH ENERGY HOLDINGS LLC,THE P.I.N.K. SPIRITS COMPNAY,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15070,"COOPER SPIRITS INTERNATIONAL, LLC",MAISON 6IEME ARR.,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15072,"EXTRAORDINARIO BRANDS, LLC",EXTRAORDINARIO BRANDS,5017 SIRUS LN,CHARLOTTE,NC,28208,MECKLENBURG,Importer (Alcohol),0
NC-I-15078,"PROXIMO SPIRITS, INC.",THREE OLIVES COMPANY,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15081,"WISDOM BEVERAGE, LLC",WISDOM BEVERAGE,4319 WATERLEAF CT STE 101,GREENSBORO,NC,27410,GUILFORD,Importer (Alcohol),0
NC-I-15085,SUNRISE WINES L.L.C.,,105 SUNRISE CENTER DR,THOMASVILLE,NC,27360,DAVIDSON,Importer (Alcohol),0
NC-I-15089,"PETROPOULOS IMPORTS, INC.",,5723 COUNTRY CLUB RD SUITE I,WINSTON-SALEM,NC,27104,FORSYTH,Importer (Alcohol),0
NC-I-15090,"AIKO IMPORTERS, INC.",AIKO,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15091,"1806 SUNSET, LLC",,3110 EDWARDS MILL RD 100,RALEIGH,NC,27612,WAKE,Importer (Alcohol),0
NC-I-15094,"BLACK DIAMOND SPIRITS, LLC",SAPPHIRE BRANDS,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15095,THE MCKENZIE RIVER CORPORATION,DISTILLERIE VINET EGE SA,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15096,"ARTESIAN ENTERPRISES, INC.",FREEDOM BEVERAGE COMPANY,4319 WATERLEAF CT SUITE 101,GREENSBORO,NC,27410,GUILFORD,Importer (Alcohol),0
NC-I-15097,"UNITED STATES BEVERAGE, L.L.C.",,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15098,ANTHONY NICASTRO,SILVERSTONE SPRINGS DISTRIBUTING,1067 SILVERSTONE RD,ZIONVILLE,NC,28698,WATAUGA,Importer (Alcohol),0
NC-I-15100,"OLD WORLD WINES, INC.",,32 DEEP WOODS RD,WEAVERVILLE,NC,28787,BUNCOMBE,Importer (Alcohol),0
NC-I-15102,ANSON IMPORTS LTD. CO,,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15104,PLM GROUP IMPORTS CORP.,PLM GROUP IMPORTS,4630 CROSS RIDGE LN,GREENSBORO,NC,27410,GUILFORD,Importer (Alcohol),0
NC-I-15105,"OLD WORLD WINES, INC.",,6 LONG SHOALS RD # K09,ARDEN,NC,28704,BUNCOMBE,Importer (Alcohol),0
NC-I-15108,"EXECUTIVE WINE IMPORTS, INC.",,3500 DEWITT LN SUITE A,CHARLOTTE,NC,28217,,Importer (Alcohol),0
NC-I-15110,"GREAT SMOKY MOUNTAINS WINE AND SPIRITS, LLC",,69 BINGHAM RD,ASHEVILLE,NC,28806,BUNCOMBE,Importer (Alcohol),0
NC-I-15112,"PROHIBITION BEVERAGE, INC.",,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15114,PURPLE TOES INC,,115 WADE ST,JAMESTOWN,NC,27282,GUILFORD,Importer (Alcohol),0
NC-I-15121,"IVEX MARKETING & SALES, INC.",,4001 RALEIGH ST,CHARLOTTE,NC,28206,MECKLENBURG,Importer (Alcohol),0
NC-I-15122,"VICTUS WORLD IMPORTS, L.L.C.",,12 OLD CHARLOTTE HWY STE 40,ASHEVILLE,NC,28803,BUNCOMBE,Importer (Alcohol),0
NC-I-15123,ROBERT WALTER SELECTIONS INC.,ROBERT WALTER SELECTIONS,550 SWANNANOA RIVER RD SUITE 348,ASHEVILLE,NC,28805,BUNCOMBE,Importer (Alcohol),0
NC-I-15124,"EXECUTIVE WINE & SPIRITS, INC.",,634 MARINA DR UNIT D1,CHARLESTON,SC,29492,,Importer (Alcohol),0
NC-I-15125,"CAROLINA ONE, INC.",,359 S SWING RD,GREENSBORO,NC,27409,GUILFORD,Importer (Alcohol),0
NC-I-15127,"WORLD PREMIERE WINES, LLC",,1118 RIVER HWY,MOORESVILLE,NC,28117,IREDELL,Importer (Alcohol),0
NC-I-15129,"BRANDON HOLDING COMPANY, LLC",0210 SPIRITS,212 S TRYON ST SUITE 950,CHARLOTTE,NC,28202,MECKLENBURG,Importer (Alcohol),0
NC-I-15131,IGOR DASHKEVYCH,CUSTOM FOR ALL,1806 E SPRAGUE ST,WINSTON-SALEM,NC,27107,FORSYTH,Importer (Alcohol),0
NC-I-15134,"CAPSTONE INTERNATIONAL, INC.",,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15135,"SKYE ENTERPRISES, INC",SKYE WINES,1466 SMOKEY PARK HWY,CANDLER,NC,28715,BUNCOMBE,Importer (Alcohol),0
NC-I-15136,"MAURICE COOPER ET CIE, LLC",,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15139,PARK STREET IMPORTS LLC,PARK STREET IMPORTS,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15141,COPA CACHACA CORPORATION,COPA SPIRITS COMPANY,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15143,GEORGE DWAIN EXLINE,CATAWBA VALLEY PREMIUM WINE DISTRIBUTORS,4153 BURNWOOD TRL,DENVER,NC,28037,LINCOLN,Importer (Alcohol),0
NC-I-15146,"LAKE NORMAN WEST, LLC",,8277 UNITY CHURCH RD,DENVER,NC,28037,LINCOLN,Importer (Alcohol),0
NC-I-15147,"ALBAN O'DONELL DISTRIBUTOR, INC",,7819 SOUTH BLVD,CHARLOTTE,NC,28273,MECKLENBURG,Importer (Alcohol),0
NC-I-15148,SPARTAN VALLEY IMPORTS LLC,,4909 WATERS EDGE DR SUITE 214,RALEIGH,NC,27606,WAKE,Importer (Alcohol),0
NC-I-15149,CARIBBEAN DISTILLERS LLC,FLORIDA DISTILLERS,3324 GARNER RD,RALEIGH,NC,27610,WAKE,Importer (Alcohol),0
NC-I-15150,"ANTARCTICA USA, LLC",,212 S TRYON ST STE 950,CHARLOTTE,NC,28202,MECKLENBURG,Importer (Alcohol),0
NC-I-15151,"ALBAN O'DONELL DISTRIBUTOR, INC",,7701 SHARON LAKE RD,CHARLOTTE,NC,28210,MECKLENBURG,Importer (Alcohol),0
NC-I-15152,LA ALTISIMA LLC,,2050 STRAFORD RD,WINSTON SALEM,NC,27103,FORSYTH,Importer (Alcohol),0
NC-I-15153,G&J AMERITALIA INC.,MARCITALIA,1002 PINE TWIG WAY,MATTHEWS,NC,28104,UNION,Importer (Alcohol),0
NC-I-15154,"ACTION FOOD SALES, INC.",,8401 UNIVERSITY EXECUTIVE PARK DR STE 129,CHARLOTTE,NC,28262,MECKLENBURG,Importer (Alcohol),0
NC-I-15155,"LAKE NORMAN INDUSTRIES, LLC",,19116 STATESVILLE RD ROOM C116,CORNELIUS,NC,28031,MECKLENBURG,Importer (Alcohol),0
NC-I-15157,"DUTY FREE AMERICAS (BALT-WASH), INC.",,4818 EXPRESS DR B,CHARLOTTE,NC,28208,MECKLENBURG,Importer (Alcohol),0
NC-I-15159,PIANOPIANO LLC,,140 MONTCLAIR CIR,DURHAM,NC,27713,DURHAM,Importer (Alcohol),0
