Permit_Number,Owner_Name,Operating_Name,Street,City,State,Prem_Zip,Prem_County,Industry_Type,New_Permit_Flag
CA-I-2233,INFINIUM SPIRITS INC,Infinium Spirits,510 MARKET ST STE 301,SAN DIEGO,CA,92101,SAN DIEGO,Importer (Alcohol),0
CA-I-22330,CAL GLOBAL IMPEX LLC,,7614 ALISTER CT,GILROY,CA,95020,SANTA CLARA,Importer (Alcohol),0
CA-I-22331,"THE JOSEPH COMPANY INTERNATIONAL, INC.",,1711 LANGLEY AVE,IRVINE,CA,92614,ORANGE,Importer (Alcohol),0
CA-I-22332,"WOOLER BRANDS, LLC",,600 A N EL DORADO ST,STOCKTON,CA,95242,,Importer (Alcohol),0
CA-I-22334,PROHIBIDO WINES,,847 SANTA BARBARA DR,SANTA ROSA,CA,95404,,Importer (Alcohol),0
CA-I-22335,21SEEDS INC.,21Seeds,11199 SITZMARK WAY,TRUCKEE,CA,96161,,Importer (Alcohol),0
CA-I-22337,TESS BRYANT SELECTIONS,Tess Bryant Selections,20700 FORT ROSS RD,CAZADERO,CA,95421,SONOMA,Importer (Alcohol),0
CA-I-22338,"TEQUILA HASHTAG, CORP",,740 E 111TH PL,LOS ANGELES,CA,90059,,Importer (Alcohol),0
CA-I-22339,DUNN SPIRITS INC,,312 S ELM DR APT 312,BEVERLY HILLS,CA,90212,LOS ANGELES,Importer (Alcohol),0
CA-I-22340,THOMAS MICHAEL SUTHERLAND,The French Vine,105 LAUREL AVE,LOS GATOS,CA,95030,SANTA CLARA,Importer (Alcohol),0
CA-I-22341,BURKE WINE BROKERAGE,,448 MISSOURI ST,SAN FRANCISCO,CA,94107,SAN FRANCISCO,Importer (Alcohol),0
CA-I-22342,INTERVINE INC.,,727 W CAPITOL DR,SAN PEDRO,CA,90731,LOS ANGELES,Importer (Alcohol),0
CA-I-22344,REGENERATE BREWING CO. LLC,Plant Bier,780 S COAST HWY 101,ENCINITAS,CA,92024,,Importer (Alcohol),0
CA-I-22345,CAYMUS VINEYARDS,,2650 CORDELIA RD,FAIRFIELD,CA,94534,,Importer (Alcohol),0
CA-I-22346,"DAVIGNA WINES, INC.",DaVigna Wines,8021 DENROCK AVE,LOS ANGELES,CA,90292,LOS ANGELES,Importer (Alcohol),0
CA-I-22347,"MONTAIGNE IMPORTS, LLC",Montaigne Imports,88 WELLINGTON AVE,SAN ANSELMO,CA,94960,MARIN,Importer (Alcohol),0
CA-I-22348,"NAKEDWINES.COM, INC.",Nakedwines.com,499 MOORE LN,HEALDSBURG,CA,95448,SONOMA,Importer (Alcohol),0
CA-I-22349,"NEW ALCHEMY DISTILLING, LLC.",,5050 ROBERT J MATHEWS PKWY STE 250,EL DORADO HILLS,CA,95762,EL DORADO HILLS,Importer (Alcohol),0
CA-I-22350,WINE WEST LLC,Wine West,930 MCLAUGHLIN AVE,SAN JOSE,CA,95122,SANTA CLARA,Importer (Alcohol),0
CA-I-22351,"PURE SOUTHERN, LLC",Pure Southern,1337 WELLESLEY AVE UNIT 104,LOS ANGELES,CA,90025,,Importer (Alcohol),0
CA-I-22352,"WINESHARK EMPIRE, INC.",Cloud No.9,499 MOORE LN,HEALDSBURG,CA,95448,,Importer (Alcohol),0
CA-I-22353,SEAN BEHRENS WINES,,4078 SPRING MOUNTAIN RD,SAINT HELENA,CA,94574,NAPA,Importer (Alcohol),0
CA-I-22354,"CARDINAL DU FOUR, LLC",Cardinal du Four,3777 CHILTON CT,SAN JOSE,CA,95111,SANTA CLARA,Importer (Alcohol),0
CA-I-22355,"UNCHARTED VINES, LLC",,4136 CAMPUS AVE APT 1,SAN DIEGO,CA,92103,SAN DIEGO,Importer (Alcohol),0
CA-I-22356,"HUB CITY INTERNATIONAL, LLC.",,153 W ROSECRANS AVE STE 13,GARDENA,CA,90248,,Importer (Alcohol),0
CA-I-22357,KAKI TRADING COMPANY,,2026 BAY ST UNIT 101,LOS ANGELES,CA,90021,,Importer (Alcohol),0
CA-I-22358,"SEGOVIA IMPORTS, LLC",,809 AUZERAIS AVE APT 319,SAN JOSE,CA,95126,SANTA CLARA,Importer (Alcohol),0
CA-I-22359,"OAKHURST ENTERPRISES, LLC",Oakhurst Enterprises,3127 OAKHURST AVE,LOS ANGELES,CA,90034,LOS ANGELES,Importer (Alcohol),0
CA-I-22360,"DOLOMITES WINE IMPORTS, LLC",Dolomites Wine Imports,30049 STONE SUMMIT DR,VALLEY CENTER,CA,92082,SAN DIEGO,Importer (Alcohol),0
CA-I-22361,EDWARDS & GARCIA LLC,Edwards & Garcia,6221 YARROW DR STE D,CARLSBAD,CA,92011,SAN DIEGO,Importer (Alcohol),0
CA-I-22362,FIRESTARTER LAB CORP,FIRESTARTER LAB CORP,1916 S FLOWER ST,SANTA ANA,CA,92707,ORANGE,Importer (Alcohol),0
CA-I-22363,ENDURANCE INTERNATIONAL INC,Endurance International,1926 POTRERO AVE BLDG A,SOUTH EL MONTE,CA,91733,LOS ANGELES,Importer (Alcohol),0
CA-I-22365,SD TRADING & CONSULTING LLC,,201 SPEAR ST STE 1100 RM 18,SAN FRANCISCO,CA,94105,,Importer (Alcohol),0
CA-I-22366,FANDANGO SPIRITS USA INC.,,8656 RESEDA BLVD UNIT 4,RESEDA,CA,91342,,Importer (Alcohol),0
CA-I-22367,GANBEI LLC,Ganbei,1805 W MAGNOLIA BLVD,BURBANK,CA,91506,LOS ANGELES COUNTY,Importer (Alcohol),0
CA-I-22368,"IN SPIRIT GROUP, INC.",,22625 S WESTERN AVE,TORRANCE,CA,90501,,Importer (Alcohol),0
CA-I-22369,CAMO&CO SELECTIONS LLC,,12510 W FIELDING CIR APT 3,PLAYA VISTA,CA,90094,LOS ANGELES,Importer (Alcohol),0
CA-I-22370,ENOICA AMERICA LLC,,5757 OLIVAS PARK DR STE K,VENTURA,CA,93003,,Importer (Alcohol),0
CA-I-22371,"TEQUILA COUNTRY, INC.",Tequila Country,3579 FOURTH AVE,SAN DIEGO,CA,92103,SAN DIEGO,Importer (Alcohol),0
CA-I-22372,"US-EU, INC.",,7249 LANKERSHIM BLVD STE B,NORTH HOLLYWOOD,CA,91605,,Importer (Alcohol),0
CA-I-22373,WILLIAM HUNTER MCCLAMROCK,Oeneranis,5108 FRANKLIN AVE,LOS ANGELES,CA,90027,,Importer (Alcohol),0
CA-I-22375,"AMASS BRANDS, INC.",,2743 WOODSTOCK RD,LOS ANGELES,CA,90046,,Importer (Alcohol),0
CA-I-22376,"SOLENTO, INC.",,2734 W LOKER AVE STE J,CARLSBAD,CA,92010,SAN DIEGO,Importer (Alcohol),0
CA-I-22377,"WISE-CALDWELL DISTILLERS, LLC",Wise-Caldwell Distillers,68 COOMBS ST UNIT L-6,NAPA,CA,94559,NAPA,Importer (Alcohol),0
CA-I-22378,"SOPHIE ENTERPRISE, LLC",,2241 FIRST AVE,NAPA,CA,94558,NAPA,Importer (Alcohol),0
CA-I-22379,FROST POPSICLES USA LLC,Frost Popsicles USA,400 POLAR WAY,SAN LEANDRO,CA,94577,ALAMEDA,Importer (Alcohol),0
CA-I-22380,LE CORTI DEI FARFENSI USA,,35053 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,RIVERSIDE,Importer (Alcohol),0
CA-I-22381,HECTOR GERARDO ERAMI,El 5to Mes,1240 N FITZGERALD AVE UNIT 204,RIALTO,CA,92376,,Importer (Alcohol),0
CA-I-22382,VIGNE DIRECT LLC,vigne direct llc,1425 W 12TH ST 151,LOS ANGELES,CA,90015,,Importer (Alcohol),0
CA-I-22384,PREMIO WINE E CACHACA INC.,Premio Wine e Cachaca,539 SKY MESA RD,ALPINE,CA,91901,,Importer (Alcohol),0
CA-I-22385,"BLACH SPIRITS GROUP, INC.",,124 LOMAS SANTA FE DR UNIT 202,SOLANA BEACH,CA,92075,SAN DIEGO,Importer (Alcohol),0
CA-I-22386,"D'OURO VINO, INC.",D'Ouro Vino Selections,2425 OLYMPIC BLVD STE 4000-W,SANTA MONICA,CA,90404,LOS ANGELES,Importer (Alcohol),0
CA-I-22387,"TS PACIFIC, LLC",,21730 S WILMINGTON AVE UNIT 203,CARSON,CA,90810,LOS ANGELES,Importer (Alcohol),0
CA-I-22388,PARK STREET IMPORTS LLC,,2131 W WILLOW ST,LONG BEACH,CA,90810,,Importer (Alcohol),0
CA-I-22389,MEDIC GROUP INC,,4401 SANTA ANITA AVE STE 202,EL MONTE,CA,91731,LOS ANGELES,Importer (Alcohol),0
CA-I-22390,MARCELLO J ADAMO,il castello di Fagnano,408 12TH ST,SACRAMENTO,CA,95814,SACRAMENTO,Importer (Alcohol),0
CA-I-22391,"ULTRA PURE, LLC",,11903 PIKE ST,SANTA FE SPRINGS,CA,90670,LOS ANGELES,Importer (Alcohol),0
CA-I-22392,"BAD HOMBRE IMPORTING, LLC",,900 EUCLID ST APT 306,SANTA MONICA,CA,90403,LOS ANGELES COUNTY,Importer (Alcohol),0
CA-I-22393,"GREG & GREG, INC.",Owl Ridge Wine Services,"2064 GRAVENSTEIN HWY N., BLDG 1 STE 120",SEBASTOPOL,CA,95472,SONOMA,Importer (Alcohol),0
CA-I-22394,ROKIT DRINKS IMPORTS INC.,ROKIT DRINKS IMPORTS INC.,2900 COLORADO AVE,SANTA MONICA,CA,90404,,Importer (Alcohol),0
CA-I-22396,WORLDWIDE WINE LLC,,2668 E FOOTHILL BLVD,PASADENA,CA,91107,LOS ANGELES,Importer (Alcohol),0
CA-I-22397,"PHOENO WINE COMPANY, INC.",Phoeno Wine Company,1166 COMMERCE BLVD STE C&D,AMERICAN CANYON,CA,94503,NAPA COUNTY,Importer (Alcohol),0
CA-I-22399,FLYING HOP LLC,THE FLYING HOP,551 ECCLES AVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,Importer (Alcohol),0
